names,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap0.5-len75000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap1.0-len75000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap10.0-len75000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len100000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len125000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len150000.0-niter500-nlayers3,emodnet-bio-2020-ncovars4-epsilon2ap5.0-len75000.0-niter500-nlayers3
Actinocyclus octonarius var. octonarius,0.27945031887094335,0.2801087037518413,0.2803159378463806,0.28039764605587003,0.27941677960112443,0.2794310077624933,0.27954799239366,0.28037823439466625,0.27893521146457756,0.2780399028789731,0.2776431335351073,0.2808153807764869,0.2787958601629283,0.27792535589991707,0.27737108422173323,0.28060045269665046
Actinocyclus senarius,0.5801441163521248,0.5817139338690259,0.5829726374449992,0.5798305995757757,0.5854511922773308,0.5859508049092941,0.5869908239081276,0.5851986208112526,0.5904603100891069,0.586098449051451,0.5838670120732233,0.5917415932062409,0.5896086132787934,0.5882774969703747,0.5883753449803611,0.5931310112887236
Actinocyclus,0.784330234508553,0.7146331574170384,0.6820814572958902,0.8738381983804101,0.6887325051961778,0.6606604010282274,0.6491589576619466,0.759397339234051,0.6426353182188891,0.6565230199708638,0.66241835616716,0.6315818823246766,0.6328535273799991,0.6358234403458927,0.6473373923712329,0.6326425280797274
Actinoptychus,0.09788687545805068,0.099950717363097,0.09880286009131137,0.09744809575186032,0.0999990245231012,0.10066147291905869,0.10236502756896239,0.0980779954362216,0.10787174146698017,0.11374082092527621,0.1190531006178028,0.10086337664658578,0.10050157331506294,0.10491597421919296,0.10986149456168728,0.10156669648515874
Amphidinium,0.20554195905932854,0.2046139322853778,0.20364133303732057,0.20731285085838105,0.20357103327702442,0.2023410036894287,0.2021235313667845,0.2043247920574036,0.20090663795392838,0.20077409995169185,0.20082784774813356,0.20066114136956667,0.20111992885061492,0.20045873701012265,0.20092642978280956,0.20133929052442334
Archaeperidinium minutum,0.3035855613533052,0.3031189515174542,0.30294486519453023,0.30434526915822857,0.30327587947623397,0.30326732217310826,0.30308771892614633,0.30366848665035684,0.3026839481638097,0.3028189813168241,0.30251068962283206,0.30327776973947895,0.30279868788461717,0.3024826187281397,0.30245719275403193,0.30340994481371886
Archaeperidinium,0.2967186808607103,0.28512480501794973,0.27988660093376344,0.30718731420314294,0.280011631245423,0.2767574179124429,0.27335552883007813,0.2871143110238636,0.26903200005849065,0.2681341127640343,0.2673692117067494,0.266464822087188,0.26726314349679087,0.2680859685786079,0.2696000960437197,0.26967056189362343
Asterionella glacialis,0.40946676729538295,0.4092239273759992,0.40845136159787143,0.4114075389195586,0.40865817709443253,0.4089464050436782,0.4095488934182008,0.40985773365654693,0.4158921068225856,0.4167825635681001,0.41851342129360863,0.4132920055178949,0.4126180400079053,0.41420156232741573,0.4155627085658563,0.41062488657854107
Asterionella kariana,0.3858827529852782,0.3908599678256325,0.3926114331841393,0.37581657819315567,0.3907386678011703,0.39290272156534917,0.3929563256264636,0.3851733456434294,0.4130965605142852,0.41749701587488985,0.42255326011253125,0.40713069388867723,0.3984551939999799,0.40863461342923874,0.41249334377824254,0.39565133308614686
Asterionella,0.47343775370027635,0.44605403849312014,0.42518386154544124,0.5233937459414111,0.4291481699441878,0.4164300144685666,0.411446604246468,0.46354424030523766,0.40767979984210967,0.40813342178111467,0.40874359936780436,0.4070087911150487,0.40765089005540767,0.40762059570978604,0.4080793565942175,0.408604262722987
Bacteriastrum hyalinum,0.284478640636264,0.28625067549307165,0.28832161140184553,0.2842704080533446,0.287750908062584,0.29539378899664215,0.29359641743821313,0.2851922774659012,0.3018552653139824,0.30161518861033054,0.3024338863156712,0.29252442114190813,0.29166186856482723,0.29776370971680466,0.30159506654487744,0.2910951052631645
Bacteriastrum,0.20893905190970327,0.2063268345461706,0.20575096105650928,0.20963764215903896,0.20575309403614972,0.20500340132365613,0.20715306833779504,0.2084942640343075,0.20256912505768135,0.20479745579230385,0.2065919040622178,0.20068097444521402,0.20091179492410874,0.20162171280419586,0.20305138884067422,0.20418758301699685
Bellerochea malleus,0.1910069478727165,0.1914075491203949,0.19196791338652686,0.1896683029503799,0.1913642632069628,0.19193130522899052,0.19253533447171003,0.18974472279352023,0.19107782275591645,0.19146433613267766,0.19244132587814075,0.18975861862440702,0.19117575016603555,0.19194366432816437,0.19194071798073742,0.19109685120243186
Bellerochea,0.20515237341905146,0.20703596940985725,0.20743676088253446,0.20398064763676382,0.20755451547924836,0.20824512891286887,0.21009623007642148,0.20477859933199338,0.2157599633611261,0.21644046965307392,0.21795544790865293,0.21616449239406743,0.21572952084808575,0.21715570390981326,0.21731182236101074,0.21162372310329283
Biddulphia rhombus,0.6096779324056321,0.5766138832388117,0.5286902876321261,0.596166429763186,0.5154543364155149,0.4879364407348629,0.4450665796849978,0.5384318941064834,0.4789476341771374,0.5205655664663374,0.5362346206491908,0.4468218879083806,0.4491716617124381,0.4541507734909962,0.4859415026468164,0.4531171753088091
Biddulphia sinensis,0.582113962007861,0.5822190271009664,0.5833311667079982,0.5833442726570159,0.5831354868815717,0.5847633400376371,0.5867524462153391,0.582312735780169,0.5927882929161862,0.5928707252758664,0.592993941265975,0.5917481137848921,0.5914714574236868,0.5928659864484243,0.5933005387755467,0.5888294884037709
Biddulphia,0.5075336809298109,0.5082140085287405,0.5090364625650977,0.509301903188355,0.5086749505363632,0.5102700893201655,0.5118867193610944,0.5075824796109236,0.5204886518432278,0.5288353789889129,0.5300669810935809,0.5172232607456382,0.516544428849741,0.5190179695660194,0.5207269163582883,0.5132668336537394
Cerataulina bergonii,0.39118312671885797,0.38278264745852747,0.3871263171153371,0.39149166201634245,0.39051568313665547,0.3850759898619276,0.3821185229138621,0.39406546898880535,0.3742746031907384,0.3706217014805582,0.3691179551723005,0.3771282943456089,0.38252569246550333,0.37550949697166447,0.37136814541486346,0.3863963850652834
Cerataulina,0.3970529095682073,0.38853290632311677,0.3936703692461021,0.4160778977308269,0.38651566364451123,0.3963146304240965,0.38942918600149085,0.3938013294839185,0.3821357771898923,0.3840140181561096,0.387477821610277,0.38167728891166985,0.3809876375871543,0.3803737698021983,0.38142303750182516,0.38459710123119617
Cerataulus granulata,0.1149778879559678,0.11377751945436214,0.11335658364048096,0.11553091632317274,0.113251324514226,0.11283558373728594,0.11412566763583709,0.11381331903607386,0.11984946659408535,0.12629871239723622,0.13334174995497908,0.11419799561262674,0.11387919449927024,0.11901651348368292,0.1207994131617502,0.11453262822873626
Cerataulus,0.04867471687320328,0.04946771769136349,0.05062840360892724,0.04934303675973983,0.050203921288075395,0.05109951405950797,0.05206385535174227,0.04861183717485128,0.05237412079427091,0.05268241362826252,0.05292175724972071,0.05204058205513757,0.05207377770867664,0.05249879847798166,0.05260021873103176,0.05197601635080269
Ceratium fusus,0.5838222711063322,0.5845351234819712,0.5830772674185174,0.58205480801301,0.5833442390444582,0.5839333517234878,0.5843651552886109,0.5828909009863232,0.5835305778433221,0.5827903191680566,0.5821510698026743,0.5836747881401613,0.5838969963821447,0.583843345299028,0.5835471910902509,0.5839045349127302
Ceratium horridum,0.3707326542340197,0.3705822014049206,0.3706699499055081,0.37064279018948537,0.37060035235507727,0.3712631221075955,0.37296598274766035,0.3700282101654005,0.3756956665421666,0.37612628281021987,0.3766531119538017,0.37453690410484675,0.37524029716181484,0.3762279634550634,0.3759058236343317,0.3730976647784194
Ceratium,0.6861727992649808,0.6690993549876012,0.6601295621496172,0.7183066774457451,0.6625090459365858,0.654396617918421,0.649778037364272,0.680126017093634,0.6436945703739002,0.6437855648988187,0.644688671208498,0.6449842657618056,0.644514793774295,0.6432720184910861,0.6429770871834577,0.647479483334086
Ceratoneis closterium,0.368732111986518,0.3680068107883523,0.3674892806011573,0.36955763500797306,0.36789759455350124,0.36743213522921353,0.36718723280344984,0.36874309660732785,0.3722882513633419,0.37398523227843217,0.3762961822826427,0.3708583351132183,0.36913818168080925,0.3706759539693051,0.37208300560947605,0.368589616300554
Ceratoneis,0.09167775837768123,0.09068904279341578,0.09118127172540917,0.09367187768565531,0.09298616854741196,0.09317495294478019,0.09543459194404043,0.09365001022073054,0.11470207469894894,0.11681279235550937,0.11871220731989773,0.11054037618042144,0.10693084588853777,0.10992165348558283,0.11331841286807896,0.10281205722098737
Chaetoceros danicus,0.3638083300689027,0.3602813514358084,0.35913213258474047,0.3633178330868543,0.35828684997477955,0.3579603218443371,0.3574778487473987,0.35830273018208714,0.35142224746789796,0.35142757767454424,0.351628031347992,0.35148272760765964,0.3525331658132771,0.35206268675416585,0.35180002514755965,0.35299346409250354
